replicate	reference_component	replicate_component	matched	signed_similarity	absolute_similarity	orientation	assignment_margin	index_recurrent	proposal_rank	rank_one	nominated_reference
33	3	3	TRUE	-0.959448003354004	0.959448003354004	-1	0.919310599648934	TRUE	2	FALSE	FALSE
34	1	1	TRUE	0.993149853600175	0.993149853600175	1	0.881497451898404	TRUE	1	TRUE	TRUE
34	2	2	TRUE	-0.991023154460963	0.991023154460963	-1	0.878328238200569	TRUE	2	FALSE	FALSE
34	3	3	TRUE	-0.970330755490574	0.970330755490574	-1	0.930943470583348	TRUE	3	FALSE	FALSE
35	1	1	TRUE	0.995395235248531	0.995395235248531	1	0.899992316485729	TRUE	1	TRUE	TRUE
35	2	2	TRUE	-0.994429679875104	0.994429679875104	-1	0.898833326423111	TRUE	2	FALSE	FALSE
35	3	3	TRUE	0.989695184253311	0.989695184253311	1	0.944958505428969	TRUE	3	FALSE	FALSE
36	1	1	TRUE	0.993632213014003	0.993632213014003	1	0.891917951094123	TRUE	1	TRUE	TRUE
36	2	2	TRUE	-0.99312485182433	0.99312485182433	-1	0.890776020354798	TRUE	2	FALSE	FALSE
36	3	3	TRUE	-0.965460266923072	0.965460266923072	-1	0.918801884607342	TRUE	3	FALSE	FALSE
37	1	1	TRUE	0.999331576054357	0.999331576054357	1	0.968865604019381	TRUE	1	TRUE	TRUE
37	2	2	TRUE	-0.998233752956022	0.998233752956022	-1	0.983785061534483	TRUE	2	FALSE	FALSE
37	3	3	TRUE	-0.993788357558608	0.993788357558608	-1	0.965165816615655	TRUE	3	FALSE	FALSE
38	1	1	TRUE	0.997594850360401	0.997594850360401	1	0.942957682250752	TRUE	1	TRUE	TRUE
38	2	2	TRUE	0.999145215987957	0.999145215987957	1	0.961852250869796	TRUE	2	FALSE	FALSE
38	3	3	TRUE	-0.894260220726396	0.894260220726396	-1	0.826923890705108	TRUE	3	FALSE	FALSE
39	1	1	TRUE	0.977474851574093	0.977474851574093	1	0.771940702762186	TRUE	1	TRUE	TRUE
39	2	2	TRUE	-0.977744158210035	0.977744158210035	-1	0.771058229981471	TRUE	2	FALSE	FALSE
39	3	3	TRUE	0.999011329812981	0.999011329812981	1	0.961376087921027	TRUE	3	FALSE	FALSE
40	1	1	TRUE	0.999235944690274	0.999235944690274	1	0.966404044272596	TRUE	1	TRUE	TRUE
40	2	2	TRUE	-0.999673783781751	0.999673783781751	-1	0.976378538817494	TRUE	2	FALSE	FALSE
40	3	3	TRUE	0.999187348956767	0.999187348956767	1	0.966359778310856	TRUE	3	FALSE	FALSE
41	1	1	TRUE	0.978569828062516	0.978569828062516	1	0.773509365722369	TRUE	1	TRUE	TRUE
41	2	2	TRUE	-0.97844546139161	0.97844546139161	-1	0.773649283939092	TRUE	2	FALSE	FALSE
41	3	3	TRUE	-0.987131806983828	0.987131806983828	-1	0.96547388742533	TRUE	3	FALSE	FALSE
42	1	1	TRUE	0.925361827601584	0.925361827601584	1	0.571777498816409	TRUE	1	TRUE	TRUE
42	2	2	TRUE	-0.896439089866364	0.896439089866364	-1	0.519515517128277	TRUE	2	FALSE	FALSE
42	3	3	TRUE	-0.495989431579745	0.495989431579745	-1	0.240479408486013	TRUE	3	FALSE	FALSE
43	1	1	TRUE	0.995214418388945	0.995214418388945	1	0.89895645110008	TRUE	1	TRUE	TRUE
43	2	2	TRUE	-0.994174297842795	0.994174297842795	-1	0.897450684400149	TRUE	2	FALSE	FALSE
43	3	3	TRUE	0.997945804146998	0.997945804146998	1	0.95261050621413	TRUE	3	FALSE	FALSE
44	1	1	TRUE	0.960117418790452	0.960117418790452	1	0.681127498982725	TRUE	1	TRUE	TRUE
44	2	2	TRUE	0.955883619969297	0.955883619969297	1	0.676886392756603	TRUE	2	FALSE	FALSE
44	3	3	TRUE	-0.996526972475086	0.996526972475086	-1	0.979755909839839	TRUE	3	FALSE	FALSE
45	1	1	TRUE	0.995467486730292	0.995467486730292	1	0.901028242173394	TRUE	1	TRUE	TRUE
45	2	2	TRUE	0.994323445242593	0.994323445242593	1	0.899548631703373	TRUE	2	FALSE	FALSE
45	3	3	TRUE	-0.970760633893926	0.970760633893926	-1	0.964333053319956	TRUE	3	FALSE	FALSE
46	1	1	TRUE	0.932665696679773	0.932665696679773	1	0.5752382669103	TRUE	1	TRUE	TRUE
46	2	2	TRUE	-0.932901118853083	0.932901118853083	-1	0.574746073724838	TRUE	2	FALSE	FALSE
