experiment,matrix_sample_id,include,exclusion_reason,genotype,temperature_c,stage,day,tissue,biological_unit,source_group,source_deg_id,metadata_status,source_library_keys,source_specimen_ids,source_pool_composition,genotype_confidence,temperature_confidence,stage_confidence,source_registry_refcodes,defect_flag
gonad_temperature,SW_36C2_2bGonad_1,true,,ZZ,36,S12,,gonad,independent destructive sample,ZZ_36C_S12,SW_36C2_2bGonad_1,master_registry_matched,SW_36C2_2b,SW_36C2_2b,,authoritative,high,high,250,
gonad_temperature,SW_36C2_2cGonad_1,true,,ZZ,36,S12,,gonad,independent destructive sample,ZZ_36C_S12,SW_36C2_2cGonad_1,master_registry_matched,SW_36C2_2c,SW_36C2_2c,,authoritative,high,high,251,
gonad_temperature,SW_36C2_2dGonad_1,true,,ZZ,36,S12,,gonad,independent destructive sample,ZZ_36C_S12,SW_36C2_2dGonad_1,master_registry_matched,SW_36C2_2d,SW_36C2_2d,,authoritative,high,high,252,
gonad_temperature,SW_36C2_3aGonad_1,true,,ZZ,36,S15,,gonad,independent destructive sample,ZZ_36C_S15,SW_36C2_3aGonad_1,master_registry_matched,SW_36C2_3a,SW_36C2_3a,,authoritative,high,high,256,
gonad_temperature,SW_36C2_3bGonad_1,true,,ZZ,36,S15,,gonad,independent destructive sample,ZZ_36C_S15,SW_36C2_3bGonad_1,master_registry_matched,SW_36C2_3b,SW_36C2_3b,,authoritative,high,high,257,
gonad_temperature,SW_36C2_3cGonad_1,true,,ZZ,36,S15,,gonad,independent destructive sample,ZZ_36C_S15,SW_36C2_3cGonad_1,master_registry_matched,SW_36C2_3c,SW_36C2_3c,,authoritative,high,high,258,
gonad_temperature,SW_36C9_1a_Gonad_1,true,,ZZ,36,S6,,gonad,independent destructive sample,ZZ_36C_S6,SW_36C9_1a_Gonad_1,master_registry_matched,SW_36C9_1a,SW_36C9_1a,,authoritative,high,high,246,
gonad_temperature,SW_36C9_1b_Gonad_1,true,,ZZ,36,S6,,gonad,independent destructive sample,ZZ_36C_S6,SW_36C9_1b_Gonad_1,master_registry_matched,SW_36C9_1b,SW_36C9_1b,,authoritative,high,high,247,
gonad_temperature,SW_36C9_2a_Gonad_1,true,,ZZ,36,S12,,gonad,independent destructive sample,ZZ_36C_S12,SW_36C9_2a_Gonad_1,master_registry_matched,SW_36C9_2a,SW_36C9_2a,,authoritative,high,high,253,
gonad_temperature,SW_36C9_3a_Gonad_1,true,,ZZ,36,S15,,gonad,independent destructive sample,ZZ_36C_S15,SW_36C9_3a_Gonad_1,master_registry_matched,SW_36C9_3a,SW_36C9_3a,,authoritative,high,high,259,
gonad_temperature,SW_36C9_3b_Gonad_1,true,,ZZ,36,S15,,gonad,independent destructive sample,ZZ_36C_S15,SW_36C9_3b_Gonad_1,master_registry_matched,SW_36C9_3b,SW_36C9_3b,,authoritative,high,high,260,
